Date,Block,Lure,Date.Lure.Set,Time,Expt,Site,Lat,Lon,Elevation,Osmoderma_spp,Elater_abruptus,Bycatch
6/1/2025,1,Control,31-May-25,9:20 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,1,2
6/1/2025,1,Control,31-May-25,9:10 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,0
6/1/2025,1,Control,31-May-25,12:50 PM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,0
6/1/2025,1,Control,31-May-25,9:07 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,3
6/1/2025,1,Control,31-May-25,9:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,0
6/1/2025,1,Control,31-May-25,9:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,2
6/1/2025,1,Control,31-May-25,9:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,1
6/1/2025,1,Control,31-May-25,10:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,2
6/2/2025,1,Control,31-May-25,9:20 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,1,2
6/2/2025,1,Control,31-May-25,9:10 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,0
6/2/2025,1,Control,31-May-25,12:50 PM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,0
6/2/2025,1,Control,31-May-25,9:07 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,3
6/2/2025,1,Control,31-May-25,9:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,0
6/2/2025,1,Control,31-May-25,9:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,2
6/2/2025,1,Control,31-May-25,9:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,1
6/2/2025,1,Control,31-May-25,10:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,2
6/3/2025,1,Control,31-May-25,9:20 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,1,2
6/3/2025,1,Control,31-May-25,9:10 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,0
6/3/2025,1,Control,31-May-25,12:50 PM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,0
6/3/2025,1,Control,31-May-25,9:07 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,3
6/3/2025,1,Control,31-May-25,9:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,0
6/3/2025,1,Control,31-May-25,9:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,2
6/3/2025,1,Control,31-May-25,9:00 AM,2025GDL,Stone Valley,40.644105,-77.927367,245.825562,0,0,1
